Período,Região,Encargos SNS (Ambulatório),Encargos Utentes (Ambulatório),Valor PVP (Ambulatório),Encargos SNS (Genéricos) 
2012-10,Centro,26130579.550000004,14652841.11999999,40783420.669999994,4777849.6
2012-11,Alentejo,4470169.39,2479349.840000001,6949519.23,938283.1399999999
2012-11,Norte,29210719.46,15895423.870000005,45106143.330000006,5964620.5200000005
2012-12,Norte,28917931.300000004,15495266.409999996,44413197.71,5950852.100000001
2013-01,Alentejo,4575169.65,2736728.12,7311897.7700000005,1003118.5699999998
2013-01,Norte,29223919.44,17000389.820000004,46224309.260000005,6257859.55
2013-02,Lisboa,29637942.65,18501365.609999985,48139308.25999998,6320403.220000001
2013-03,Centro,23169353.000000004,13108371.59,36277724.59,4771098.4399999995
2013-06,Centro,23598356.639999997,13233150.500000004,36831507.14,4806519.699999999
2013-09,Lisboa,32468511.970000003,20007238.59,52475750.56,6829210.18
2013-10,Algarve,3909029.1699999995,2489458.0000000005,6398487.17,705439.62
2013-10,Norte,32252597.020000003,19427040.04,51679637.06,6933519.319999999
2013-11,Algarve,3799972.53,2376924.32,6176896.85,687204.42
2013-12,Lisboa,35280489.31,21974032.86,57254522.17,7652549.920000001
2014-01,Centro,26642385.88,15397204.959999997,42039590.839999996,5519870.050000001
2014-01,Lisboa,36570062.739999995,23030978.0,59601040.739999995,7885169.669999999
2014-01,Norte,32132224.900000002,18787095.91,50919320.81,7223026.350000001
2014-02,Centro,23806968.440000005,13694756.740000002,37501725.18000001,4949580.159999999
2014-02,Lisboa,33233834.169999998,20822903.340000007,54056737.510000005,7195543.089999999
2014-02,Norte,28893857.010000005,16768931.260000005,45662788.27000001,6506689.03
2014-03,Algarve,3767689.53,2278610.600000001,6046300.130000001,705971.53
2014-04,Algarve,3560690.4299999997,2260182.04,5820872.47,658880.1599999999
2014-06,Centro,23758312.439999994,13673945.910000008,37432258.35,4949844.63
2014-08,Norte,27414273.56,15869373.860000003,43283647.42,6283197.639999999
2014-09,Centro,25125195.0,14645896.92000001,39771091.92000001,5294898.46
2014-09,Lisboa,33055360.830000002,20718410.129999984,53773770.959999986,7287873.32
2014-10,Algarve,3861674.7099999995,2421072.310000001,6282747.0200000005,708953.13
2014-11,Algarve,3627857.310000001,2216295.989999999,5844153.3,668808.2600000002
2015-01,Norte,31559895.490000002,18867549.6,50427445.09,7101744.05
2015-01,Algarve,3827483.15,2373110.5300000007,6200593.680000001,708589.79
2015-02,Algarve,3537715.56,2180077.94,5717793.5,651062.33
2015-04,Lisboa,34229852.22,21521967.790000007,55751820.010000005,7216435.53
2015-04,Alentejo,4627415.45,2709472.12,7336887.57,1042486.22
2015-05,Norte,29665573.0,17402217.060000002,47067790.06,6729306.3
2015-06,Norte,29396265.51,17017887.02,46414152.53,6667827.16
2015-06,Lisboa,33762198.46,21197955.120000005,54960153.580000006,7500953.8
2015-06,Algarve,3750938.72,2308741.1700000004,6059679.890000001,693380.41
2015-08,Norte,28215557.68,16186343.270000003,44401900.95,6392244.28
2015-08,Centro,23724230.3,13558427.040000003,37282657.34,4914300.75
2015-10,Centro,26481388.16,15598376.55,42079764.71,5442064.06
2015-11,Alentejo,4540414.7,2615918.7700000005,7156333.470000001,1055412.8
2015-12,Lisboa,36009240.43,22426119.509999998,58435359.94,7919041.57
