Período;Região;Valor PVP (Ambulatório);Unidades Dispensadas (Ambulatório);Valor PVP (Genéricos);Unidades Dispensadas (Genéricos);Quota Mercado Genéricos - Valor PVP;Quota Mercado Genéricos - Unidades dispensadas
2019-10;Norte;58463328.450000376;174740814;14839149.059999956;88269006;25.38197781997795;50.514246774654495
2019-10;Centro;46752030.980000086;136535744;11065526.80000006;64850208;23.668547800059745;47.496872320848084
2019-10;Alentejo;8165255.960000015;24449596;2172311.559999987;12356879;26.60432900868895;50.54021751525056
2019-10;Algarve;7216372.919999996;18889489;1566954.71;8352258;21.71388213124663;44.21643168854382
2019-11;Lisboa;61330722.380000085;175222869;15089707.83999996;85030138;24.603831904188862;48.52684954039875
2019-11;Alentejo;7789943.139999983;23240714;2068365.6400000013;11735751;26.551742455979028;50.496516587227056
2020-02;Norte;54350021.810000755;160966647;13786911.210000018;80629075;25.36689177089371;50.090547639971646
2020-03;Alentejo;9884431.219999904;29249064;2575196.3300000117;14755726;26.053055281414938;50.44854084903366
2020-03;Algarve;8873528.220000003;23013181;1914269.430000004;10253948;21.572810527445455;44.55684766047771
2020-04;Alentejo;7323837.420000005;22126473;1962757.6100000043;11350431;26.799579202018975;51.297967823430334
2020-05;Centro;39266368.23000063;115718759;9426250.160000013;55185630;24.005912909455397;47.68944160557408
2020-06;Lisboa;55292560.70000019;162024930;15422765.77000003;87304360;27.89302136625403;53.88328820756164
2020-06;Algarve;6542548.319999981;17519026;1638947.4600000002;8639012;25.05059771572318;49.31217066519565
2020-07;Centro;45631572.47000042;135852677;11017554.020000035;64262817;24.144585478055372;47.30331298513904
2020-08;Norte;49660546.520000294;150360513;12779599.559999919;75879711;25.73390841531126;50.46518496515105
2020-09;Lisboa;57607616.5000003;165375187;14161732.469999935;79316165;24.583090449506557;47.96134561589339
2020-11;Algarve;7091765.850000015;18477929;1570335.5600000005;8205514;22.143082459497688;44.40710861049417
2021-01;Lisboa;62314666.0;179527617;15578447.0;86597126;25.0;48.199999999999996
2021-02;Lisboa;56522067.0;163306527;14248917.0;79131140;25.2;48.5
2021-03;Centro;46696551.0;136972005;11423337.39;65001244;24.4629145951272;47.4558607797265
2021-04;Alentejo;7730616.82;22946318;2065979.52;11494350;26.724640065655198;50.092350328274904
2021-05;Lisboa;61935671.09;177703528;15554754.67;85994599;25.114371728364798;48.3921731705856
2021-06;Centro;44730820.06;129686112;10900266.61;61760354;24.3685820992748;47.622951330363
2021-06;Algarve;7341355.92;19264124;1660172.57;8629207;22.6139774190379;44.794183218505005
2021-08;Algarve;7744422.57;20252662;1732176.79;8977036;22.3667649116931;44.325215124806796
2021-09;Lisboa;61900699.16;175603794;15333692.12;84642920;24.7714360711269;48.201077022288004
2021-10;Algarve;7599226.88;19489230;1664421.67;8671543;21.9025131935527;44.4940256746932
2021-11;Norte;63578619.91;178654164;15731167.61;90001511;24.7428579485817;50.37750533483229
2022-02;Norte;57651633.67;164799316;14522959.62;83161615;25.1908899982435;50.4623544675392
2022-02;Alentejo;7730328.07;22330079;1999701.47;11150436;25.868261371215;49.9346016644187
2022-03;Algarve;8305564.06;21434772;1867650.41;9618964;22.4867377640815;44.8755134880838
2011-01;Centro;43011746.339999996;104508469;9870294.310000002;33843564;22.95;32.38
2011-02;Algarve;6308229.980000001;13466438;1437292.7899999998;4310131;22.78;32.01
2011-02;Centro;42022227.1;101541831;9704157.35;33428033;23.09;32.92
2011-03;Alentejo;9255034.53;22528411;2398158.4600000004;8179302;25.91;36.31
2011-03;Centro;46968000.24000001;113725942;10883577.17;37816820;23.17;33.25
2011-03;Lisboa;64185353.45999999;151919605;14666164.89;52857398;22.85;34.79
2011-03;Norte;54983620.18999999;132762908;13522355.27;47446867;24.59;35.74
2011-04;Centro;42401316.129999995;102982330;9635427.68;34360171;22.72;33.37
2011-05;Norte;56075866.42;135662243;13646570.990000002;49517005;24.34;36.5
2011-06;Alentejo;9300041.399999999;22400087;2348128.21;8283366;25.25;36.98
2011-07;Algarve;7873682.879999998;16890892;1697904.8;5516547;21.56;32.66
2011-08;Algarve;7421524.4399999995;15958593;1592979.2200000002;5305942;21.46;33.25
2011-12;Lisboa;66925799.57000001;161599030;14451773.420000004;62731739;21.59;38.82
2011-12;Norte;57074587.500000015;142863196;13286768.000000002;57342087;23.28;40.14
2012-01;Alentejo;8640514.250000002;21794743;2078240.7000000004;8843762;24.05;40.58
2012-01;Algarve;6461501.1;14138165;1378092.3599999999;5076484;21.33;35.91
2012-02;Algarve;6260730.370000001;13781460;1296057.6099999999;4974052;20.7;36.09
2012-02;Centro;41921302.1;107430107;9156559.82;40623902;21.84;37.81
2012-02;Norte;49912513.3;128201736;11534036.949999997;52406894;23.11;40.88
2012-03;Norte;52670372.080000006;139288414;12034083.66;57653658;22.85;41.39
2012-04;Centro;39528770.53999999;107317367;8343303.579999998;41219868;21.11;38.41
2012-04;Lisboa;53994858.42999999;142575990;11239976.879999999;57295128;20.82;40.19
2012-05;Lisboa;57933551.15000001;158427592;11881644.47;64054950;20.51;40.43
2012-06;Alentejo;7087129.180000001;19977440;1565378.45;8544870;22.09;42.77
2012-06;Centro;37953115.809999995;106327986;7730371.42;42119530;20.37;39.61
2012-08;Norte;43262616.32000001;133128218;9070197.440000001;57629380;20.97;43.29
2012-12;Alentejo;6750490.89;20894254;1488565.75;9344224;22.05;44.72
2013-01;Norte;46224309.260000005;142798500;10301278.18;64398619;22.29;45.1
2013-02;Algarve;5233180.87;13999252;1053037.66;5778624;20.12;41.28
2013-02;Norte;41670380.32;129434496;9558795.9;58999620;22.94;45.58
2013-03;Alentejo;6877117.1899999995;21238281;1594421.35;9702755;23.18;45.69
2013-03;Lisboa;50628914.220000006;149995027;11168490.75;67281586;22.06;44.86
2013-04;Algarve;6181615.299999999;16332646;1235293.8599999999;6694278;19.98;40.99
2013-05;Alentejo;7952386.609999999;24113047;1890475.0000000002;11107426;23.77;46.06
2013-05;Centro;41795124.1;125990751;9139193.920000002;54269929;21.87;43.07
2013-06;Lisboa;52717426.50000001;154831347;11946328.74;69498651;22.66;44.89
2013-07;Lisboa;58827045.14000001;174831520;13489493.04;78322700;22.93;44.8
2013-07;Norte;49416476.870000005;153099699;11892082.650000002;70521065;24.07;46.06
2013-08;Centro;37537044.089999996;114456529;8433820.55;49545760;22.47;43.29
2013-09;Lisboa;52475750.56;153764968;12060801.979999999;68731636;22.98;44.7
2013-09;Norte;45931672.3;140784897;11076299.239999998;64501958;24.11;45.82
2013-10;Centro;42684665.18000001;128639104;9495633.100000001;55527358;22.25;43.17
2013-11;Norte;48908117.04;150109528;11917860.5;70011509;24.37;46.64
2013-12;Algarve;6037507.45;16085864;1263340.44;6766150;20.92;42.06
2014-01;Alentejo;7824187.63;24616258;2009701.46;11681622;25.69;47.45
2014-01;Algarve;6249033.300000001;16843498;1324023.15;7049509;21.19;41.85
2014-04;Alentejo;7089014.559999999;22171230;1835807.7599999998;10723899;25.9;48.37
2014-05;Centro;40538296.830000006;126056349;9480294.25;56578083;23.39;44.88
2014-06;Alentejo;7064054.410000001;22235598;1820544.6100000003;10756741;25.77;48.38
2014-06;Norte;44424457.379999995;140857258;11253837.210000003;67619253;25.33;48.01
2014-07;Alentejo;7664923.86;24410081;1980685.7200000004;11781467;25.84;48.26
2014-07;Norte;49446851.92999999;158585893;12578703.49;76128520;25.44;48.0
