periodo;regiao;encargos_sns_ambulatorio;encargos_utentes_ambulatorio;valor_pvp_ambulatorio;encargos_sns_genericos ;encargos_sns_hospitalar
2015-10;Centro;26481388,16;15598376,55;42079764,71;5442064,06;15469370,56
2015-11;Alentejo;4540414,70;2615918,77;7156333,47;1055412,80;2520911,93
2015-12;Lisboa;36009240,43;22426119,51;58435359,94;7919041,57;41331673,24
2016-01;Alentejo;4423479,43;2584276,20;7007755,63;1020181,15;2576785,91
2016-02;Norte;29816361,64;17389933,56;47206295,20;6738856,76;25977774,64
2016-04;Norte;31019740,30;17757306,83;48777047,13;7047600,27;27532825,52
2016-06;Algarve;3820170,88;2285965,16;6106136,04;693605,92;3254526,29
2016-07;Centro;24971155,11;13944645,51;38915800,62;5137099,72;13841883,71
2016-07;Alentejo;4530679,06;2518497,44;7049176,50;1039664,20;2743037,65
2016-10;Lisboa;35086832,76;21909961,30;56996794,06;7501910,94;40870276,91
2016-10;Alentejo;4646467,54;2632058,83;7278526,37;1057505,21;2978732,00
2016-11;Lisboa;35355592,79;21910588,10;57266180,89;7550306,34;41868037,54
2016-11;Algarve;3847514,29;2329834,89;6177349,18;683593,24;3224193,91
2016-12;Centro;25911138,40;14625210,51;40536348,91;5254732,68;12192230,95
2016-12;Alentejo;4671101,70;2619748,88;7290850,58;1052048,99;2910015,39
2017-01;Norte;32556713,90;18818934,18;51375648,08;7229627,62;31790164,77
2017-02;Norte;29024312,67;16475678,09;45499990,76;6436632,20;29275444,92
2017-03;Centro;28112403,28;15257538,54;43369941,82;5693092,98;17756575,49
2017-03;Lisboa;38166587,76;22886603,35;61053191,11;8188969,20;46598227,45
2017-04;Lisboa;32735534,75;19890138,95;52625673,70;7266259,70;39485878,93
2017-05;Norte;32504097,11;18278040,33;50782137,44;7504047,30;31147135,13
2017-06;Centro;25880733,92;13996982,42;39877716,34;5442815,75;16373915,26
2017-07;Alentejo;4698493,78;2606149,55;7304643,33;1094514,53;2946561,73
2017-11;Centro;27001713,43;15045350,91;42047064,34;5589886,20;18140122,87
2018-01;Lisboa;37254033,46;22790144,41;60044177,87;8312846,40;46779441,08
2018-05;Algarve;4073553,63;2406076,71;6479630,34;775424,07;3832748,90
2018-06;Norte;32474935,26;17921306,17;50396241,43;7439036,26;35605257,91
2018-08;Lisboa;32652260,77;18882510,47;51534771,24;7371800,62;45622058,64
2018-08;Algarve;4211667,24;2531129,74;6742796,98;801962,82;4287196,45
2018-09;Centro;25823247,06;13741046,03;39564293,09;5517034,43;17514808,20
2018-10;Alentejo;5806909,85;3209792,39;9016702,24;1408998,87;3608137,84
2018-11;Norte;38537225,36;21618559,66;60155785,02;8819186,82;30600404,11
2018-12;Norte;37654142,10;20802363,43;58456505,53;8557387,30;8794250,40
2018-12;Alentejo;5538906,82;2998669,15;8537575,97;1338238,02;3098571,75
2019-03;Alentejo;4920256,99;2659311,81;7579568,80;1180943,84;3036979,78
2019-04;Alentejo;4826315,76;2589435,20;7415750,96;1148845,70;3075056,46
2019-10;Norte;37852862,51;20610465,94;58463328,45;8333368,62;0,00
2019-11;Lisboa;38707217,42;22623504,96;61330722,38;8404091,69;0,00
2019-12;Centro;29391674,19;15243159,69;44634833,88;6020206,34;15112420,15
2019-12;Lisboa;39468324,03;22865853,67;62334177,70;8594602,82;0,00
2020-01;Alentejo;5409851,07;2824577,74;8234428,81;1264001,30;3656859,74
2020-01;Algarve;4590919,74;2634579,62;7225499,36;851216,61;2966042,86
