Período,Região,Valor PVP (Ambulatório),Nº Embalagens (Ambulatório),Preço Médio por Embalagem (Ambulatório),Valor PVP (Genéricos),Nº Embalagens (Genéricos),Preço Médio por Embalagem (Genéricos)
2016-03,Lisboa,58101491.04000001,4797951,12.10964660539468,14406802.09,1972114,7.3052582609321774
2016-04,Norte,48777047.13,4220671,11.556704403162437,12714430.35,1808529,7.03026069805903
2016-05,Lisboa,57252066.14,4717812,12.135300461315541,14141226.26,1931274,7.322226809867476
2016-06,Alentejo,7137300.68,589351,12.11044128202039,1896532.63,256947,7.381026554114272
2016-07,Alentejo,7049176.5,576735,12.222557153632085,1868690.1,252137,7.411407687090748
2016-08,Alentejo,7063031.2299999995,578337,12.212656686326483,1874196.05,253859,7.382822945020661
2016-10,Norte,50263991.29,4315687,11.646811107941794,12684404.18,1817509,6.979004879755753
2016-11,Centro,40939180.7,3309766,12.369206977169988,9550943.24,1326469,7.200276252215469
2017-01,Lisboa,58024131.64,4788647,12.117020035095509,13956041.45,1946087,7.1713348118557905
2017-01,Algarve,6217148.91,468481,13.270866716046115,1301440.44,172471,7.545850838691722
2017-02,Algarve,5644923.34,424189,13.30756653284267,1178320.21,155030,7.600594788105528
2017-03,Lisboa,61053191.11,4985252,12.246761269039158,14667632.85,2010568,7.295268227684913
2017-04,Centro,37137732.68,3002423,12.36925399252537,8799230.57,1222939,7.195150837449783
2017-05,Algarve,6399004.890000001,478779,13.365258062696986,1374585.02,179576,7.654614313716755
2017-06,Algarve,6212961.800000016,462946,13.420489214724862,1332703.7399999995,173948,7.661506542185018
2017-07,Alentejo,7304643.329999997,593498,12.307780868680261,1932712.9400000058,261421,7.393105144575247
2017-08,Centro,39592361.1199998,3173806,12.474726281316439,9496282.650000004,1313316,7.23076749997716
2017-09,Lisboa,54232153.10999992,4408032,12.303030719831415,13493210.120000007,1835572,7.350956606442028
2017-11,Centro,42047064.34000019,3395072,12.384734208876923,9984433.029999934,1387868,7.194079717955839
2018-01,Centro,43188266.55,3547843,12.173105334706186,10485937.049999963,1470986,7.128509074865406
2018-02,Norte,53248545.62,4587388,11.607595786534734,14005956.62,1992652,7.028802129022027
2018-02,Centro,29388984.31,2379957,12.348535839092891,7033100.0,980296,7.17446567159307
2018-02,Algarve,5842106.48,447704,13.049037935778998,1305307.2,172401,7.571343553691683
2018-03,Centro,41910771.129999824,3385368,12.379974977609471,10196717.280000038,1410181,7.230786175675348
2018-06,Norte,50396241.4300003,4246661,11.867262639989464,13306136.930000098,1870130,7.115086614299593
2018-07,Lisboa,60007027.25000014,4867213,12.32882704126574,15410457.560000006,2068201,7.4511411415041415
2018-08,Algarve,6742796.98000001,510973,13.195994661166068,1502515.0800000012,194925,7.708170219315128
2018-10,Alentejo,9016702.239999965,736466,12.243202320269999,2476418.799999997,328300,7.543158087115434
2018-12,Centro,31927789.100000087,2504607,12.747624317906995,7604444.229999996,1035240,7.345585786870673
2019-06,Centro,40414142.770000175,3155062,12.809302248260153,9776257.520000024,1340522,7.292873611921344
2019-06,Lisboa,55599074.09000017,4422295,12.57244803659642,14041526.240000002,1893586,7.415309492148761
2019-07,Alentejo,8194330.999999995,649754,12.61143602040156,2205874.2100000028,292681,7.536786501344476
2019-08,Algarve,7130285.399999991,524906,13.583928169996135,1573112.1499999978,205438,7.657357207527321
2019-09,Algarve,6615339.590000008,485985,13.612229986522236,1467412.8199999991,191370,7.667935517583734
2019-10,Alentejo,8165255.960000015,647985,12.600995331682084,2172311.559999987,292410,7.428992031736216
2019-10,Algarve,7216372.919999996,528330,13.65883618193174,1566954.71,205146,7.638241593791738
2019-12,Algarve,6851146.939999981,502120,13.644441448259341,1482535.3699999948,193577,7.658633876958496
2020-01,Lisboa,64608433.6600005,5142756,12.562998061739757,15918928.329999968,2170009,7.335881247497116
2020-04,Centro,39925923.340000376,2967875,13.452697077875712,9595695.15000006,1290995,7.432790328390164
2020-04,Lisboa,52986222.5900002,4010368,13.212309341686398,13361407.46999994,1773807,7.532616271104995
2020-05,Centro,39266368.23000063,2963293,13.250923290407203,9426250.160000013,1270344,7.420234330228673
2020-05,Lisboa,52168528.14999997,4006587,13.02069021588698,13107935.489999965,1742680,7.521711094406297
2020-08,Norte,49660546.520000294,3929530,12.637782767913794,12779599.559999919,1773032,7.207765883526027
2020-09,Alentejo,7603600.639999981,585790,12.98007927755677,2012311.7599999988,264044,7.621122843162499
2020-10,Norte,58284199.69000037,4573567,12.74370741480345,14567298.980000034,2010946,7.244003061245818
2020-10,Lisboa,63544486.860000186,4856493,13.084439092159752,15436491.179999975,2040821,7.563863356952901
2021-03,Norte,58892486.28,4627261,12.7272886227943,15223167.08,2081355,7.31406563512712
2021-04,Algarve,7061621.06,506894,13.9311592956318,1609213.35,204636,7.86378423151352
2021-05,Norte,57162661.6,4507197,12.6825300957557,14804444.92,2032485,7.28391349505655
2021-05,Centro,45018451.23,3417773,13.1718669525448,10992757.32,1465000,7.50358861433447
2021-05,Algarve,7206385.22,520062,13.8567809607316,1630442.0,208999,7.80119522102977
2021-06,Norte,55924621.78,4387655,12.7459022598632,14418296.76,1976554,7.29466372282265
2021-06,Lisboa,60840395.02,4678977,13.0029267123989,15234696.59,2012521,7.56995658181952
2021-06,Algarve,7341355.92,527756,13.910511524265,1660172.57,211815,7.83784231522791
2021-07,Lisboa,65973266.01,5062501,13.0317536747153,16505776.12,2187350,7.54601509589229
2021-07,Alentejo,8314861.87,638083,13.0310035998452,2206278.45,289123,7.63093372025055
2021-08,Centro,45289151.9,3399779,13.3212046724214,11010875.15,1468129,7.49993709680825
2021-09,Lisboa,61900699.16,4717820,13.1206148517748,15333692.12,2030747,7.55076438374647
2021-11,Centro,49551008.33,3716639,13.3322091088212,11677186.78,1565799,7.45765374738392
2021-11,Algarve,7805198.19,556342,14.029496586632,1714206.46,221307,7.74583027197513
2021-12,Lisboa,67511637.06,5123945,13.1757146222296,16501944.19,2192808,7.52548521804006
2021-12,Alentejo,8317397.49,629969,13.2028679030238,2162112.86,284887,7.58937003092454
2022-01,Centro,47500297.9,3529217,13.4591604596714,11320974.0,1513223,7.48136527134467
2022-03,Algarve,7176150.1,509055,14.0970034672088,1590627.44,204404,7.78178235259584
2022-03,Alentejo,7730328.07,585225,13.209155572643,1999701.47,263883,7.57798520556459
2011-01,Norte,50668495.559999995,3542922,14.30132968210985,12370861.959999999,1030463,12.005149102878995
2011-02,Algarve,6308229.980000001,384199,16.41917334506337,1437292.7899999998,102627,14.005016126360507
2011-02,Centro,42022227.1,2773959,15.148827758449206,9704157.35,770081,12.60147614341868
2011-05,Algarve,7286886.119999999,427434,17.04797961790592,1623785.6200000006,115600,14.046588408304503
2011-05,Centro,48211029.449999996,3103552,15.534145859325056,11055348.77,883145,12.518158139376885
2011-05,Norte,56075866.42,3725434,15.052170141787508,13646570.990000002,1137699,11.994887039542094
2011-06,Centro,46303833.25,2961405,15.635765202665626,10493254.09,850596,12.33635485001105
2011-06,Lisboa,64281783.800000004,4062664,15.822569575037464,14421413.809999999,1216046,11.859266680701223
2011-06,Norte,54019209.589999996,3558869,15.178757518189064,13066249.909999996,1104458,11.830463367552227
2011-07,Centro,47980416.49999999,3091129,15.521971583845254,10771751.420000002,905161,11.900370674388315
2011-11,Algarve,6767175.52,401025,16.874697387943392,1441512.68,117150,12.304845753307724
2011-12,Alentejo,9292343.780000001,596026,15.590500716411702,2235229.8000000003,205654,10.868885603975611
2012-02,Algarve,6260730.370000001,391171,16.005098460775468,1296057.6099999999,118953,10.895543702134455
2012-03,Alentejo,8679342.690000001,609768,14.233844166961862,2031822.02,218125,9.31494335816619
2012-04,Alentejo,7475054.349999998,531737,14.057803669859343,1703345.1000000003,190578,8.93778452916916
2012-04,Lisboa,53994858.42999999,3816686,14.147052817549044,11239976.879999999,1303424,8.623423291269763
2012-06,Alentejo,7087129.180000001,518804,13.660513758567784,1565378.45,193707,8.081166142679407
2012-07,Centro,38285484.17,2922987,13.098068575056955,7592248.090000001,1003897,7.5627759521146105
2012-07,Lisboa,52444891.599999994,3957600,13.251690822720839,10418900.03,1417594,7.349706636738022
2012-09,Algarve,5563573.08,396032,14.048291754201681,1007334.9099999999,132890,7.580216043344119
2012-09,Centro,36169646.34,2876222,12.57540146066611,7001798.33,1008651,6.941745291483377
2012-11,Centro,37560794.54,3034971,12.375997839847564,7443041.680000001,1086895,6.847985941604295
2013-02,Lisboa,48139308.25999998,3927756,12.256186041088087,10561147.280000001,1529872,6.903288170513612
2013-03,Centro,36277724.59,2965676,12.232531331811028,7778342.66,1114415,6.979754095197929
2013-06,Alentejo,6913267.82,550495,12.558275406679444,1685621.5299999998,226955,7.427117842744155
2013-06,Algarve,5794044.79,416232,13.920229078975186,1198758.03,153192,7.825199945166849
